vendor,area,month,site_name,id,owner,capacity,new_capacity
INVT,BMA-02,9/1/2024,BKE8521-NB1P4,63019514,TRUE,"10,170.00",4
INVT,BMA-02,10/1/2024,BKE8521-NB1P4,63019514,TRUE,"10,170.00",4
INVT,BMA-02,11/1/2024,BKE8521-NB1P4,63019514,TRUE,"10,170.00",4
INVT,BMA-02,12/1/2024,BKE8521-NB1P4,63019514,TRUE,"10,170.00",4
INVT,BMA-02,1/1/2025,BKE8521-NB1P4,63019514,TRUE,"10,170.00",4
INVT,BMA-02,2/1/2025,BKE8521-NB1P4,63019514,TRUE,"10,170.00",4
INVT,BMA-02,3/1/2025,BKE8521-NB1P4,63019514,TRUE,"10,170.00",4
HUAWEI,BMA-03,1/1/2024,BKF8626-ATV-NB1P5,NE=33881282,ALTERVIM,0,5
HUAWEI,BMA-03,1/1/2024,PTT8619-ATV-NB1P5,NE=33879565,ALTERVIM,0,5
HUAWEI,BMA-03,5/1/2024,BKF8626-ATV-NB1P5,NE=33881282,ALTERVIM,0,5
HUAWEI,BMA-03,5/1/2024,PTT8619-ATV-NB1P5,NE=33879565,ALTERVIM,0,5
HUAWEI,BMA-03,6/1/2024,BKF8626-ATV-NB1P5,NE=33881282,ALTERVIM,0,5
HUAWEI,BMA-03,6/1/2024,PTT8619-ATV-NB1P5,NE=33879565,ALTERVIM,0,5
HUAWEI,BMA-03,7/1/2024,BKF8626-ATV-NB1P5,NE=33881282,ALTERVIM,0,5
HUAWEI,BMA-03,7/1/2024,PTT8619-ATV-NB1P5,NE=33879565,ALTERVIM,0,5
HUAWEI,BMA-03,8/1/2024,BKF8626-ATV-NB1P5,NE=33881282,ALTERVIM,0,5
HUAWEI,BMA-03,8/1/2024,PTT8619-ATV-NB1P5,NE=33879565,ALTERVIM,0,5
HUAWEI,UPC-04,5/1/2024,CYP8506-ATV-NB1P5,NE=33899389,ALTERVIM,0,5
HUAWEI,UPC-04,6/1/2024,CYP8506-ATV-NB1P5,NE=33899389,ALTERVIM,0,5
HUAWEI,UPC-04,7/1/2024,CYP8506-ATV-NB1P5,NE=33899389,ALTERVIM,0,5
HUAWEI,UPC-04,8/1/2024,BRR8514-ATV-NB1P5,NE=33878390,ALTERVIM,0,5
HUAWEI,UPC-04,8/1/2024,BRR8517-ATV-NB1P5,NE=33878110,ALTERVIM,0,5
HUAWEI,UPC-04,8/1/2024,CYP8506-ATV-NB1P5,NE=33899389,ALTERVIM,0,5
HUAWEI,UPC-03,1/1/2024,KKN1609-ATV-NB1P5,NE=33875385,ALTERVIM,0,5
HUAWEI,UPC-03,1/1/2024,KKN6771-ATV-NB1P5,NE=33925502,ALTERVIM,0,5
HUAWEI,UPC-03,5/1/2024,KKN1609-ATV-NB1P5,NE=33875385,ALTERVIM,0,5
HUAWEI,UPC-03,5/1/2024,KKN6771-ATV-NB1P5,NE=33925502,ALTERVIM,0,5
HUAWEI,UPC-03,6/1/2024,KKN1609-ATV-NB1P5,NE=33875385,ALTERVIM,0,5
HUAWEI,UPC-03,6/1/2024,KKN6771-ATV-NB1P5,NE=33925502,ALTERVIM,0,5
HUAWEI,UPC-03,7/1/2024,KKN1609-ATV-NB1P5,NE=33875385,ALTERVIM,0,5
HUAWEI,UPC-03,7/1/2024,KKN6771-ATV-NB1P5,NE=33925502,ALTERVIM,0,5
HUAWEI,UPC-03,8/1/2024,KKN1609-ATV-NB1P5,NE=33875385,ALTERVIM,0,5
HUAWEI,UPC-03,8/1/2024,KKN6771-ATV-NB1P5,NE=33925502,ALTERVIM,0,5
HUAWEI,UPC-08,1/1/2024,CPN6752-ATV-NB1P4,NE=34089931,ALTERVIM,0,4
HUAWEI,UPC-08,5/1/2024,CPN6752-ATV-NB1P4,NE=34089931,ALTERVIM,0,4
HUAWEI,UPC-08,6/1/2024,CPN6752-ATV-NB1P4,NE=34089931,ALTERVIM,0,4
HUAWEI,UPC-08,7/1/2024,CPN6752-ATV-NB1P4,NE=34089931,ALTERVIM,0,4
HUAWEI,UPC-08,8/1/2024,CPN6752-ATV-NB1P4,NE=34089931,ALTERVIM,0,4
HUAWEI,,9/1/2024,BKE0028-ATV-NB1P5,NE=33876316,ALTERVIM,0,5
HUAWEI,,9/1/2024,BKF8626-ATV-NB1P5,NE=33881282,ALTERVIM,0,5
HUAWEI,,9/1/2024,BRR8514-ATV-NB1P5,NE=33878390,ALTERVIM,0,5
HUAWEI,,9/1/2024,BRR8517-ATV-NB1P5,NE=33878110,ALTERVIM,0,5
HUAWEI,,9/1/2024,CPN6752-ATV-NB1P4,NE=34089931,ALTERVIM,0,4
HUAWEI,,9/1/2024,CYP8506-ATV-NB1P5,NE=33899389,ALTERVIM,0,5
HUAWEI,,9/1/2024,KKN1609-ATV-NB1P5,NE=33875385,ALTERVIM,0,5
HUAWEI,,9/1/2024,KKN6771-ATV-NB1P5,NE=33925502,ALTERVIM,0,5
HUAWEI,,9/1/2024,LBR6733-ATV-NB1P5,NE=33886821,ALTERVIM,0,5
HUAWEI,,9/1/2024,PSN3125-ATV-NB1P5,NE=33901686,ALTERVIM,0,5
HUAWEI,,9/1/2024,PTT8619-ATV-NB1P5,NE=33879565,ALTERVIM,0,5
HUAWEI,,9/1/2024,RYG1602-ATV-NB1P5,NE=33895122,ALTERVIM,0,5
HUAWEI,,9/1/2024,SKT8547-ATV-NB1P5,NE=33914174,ALTERVIM,0,5
HUAWEI,,9/1/2024,SRB6760-ATV-NB1P4,NE=33900437,ALTERVIM,0,4
HUAWEI,,9/1/2024,TRG8522-ATV -NB1P4,NE=33881926,ALTERVIM,0,4
HUAWEI,,10/1/2024,BKE0028-ATV-NB1P5,NE=33876316,ALTERVIM,0,5
HUAWEI,,10/1/2024,BKF8626-ATV-NB1P5,NE=33881282,ALTERVIM,0,5
HUAWEI,,10/1/2024,BRR8514-ATV-NB1P5,NE=33878390,ALTERVIM,0,5
HUAWEI,,10/1/2024,BRR8517-ATV-NB1P5,NE=33878110,ALTERVIM,0,5
HUAWEI,,10/1/2024,CPN6752-ATV-NB1P4,NE=34089931,ALTERVIM,0,4
HUAWEI,,10/1/2024,CYP8506-ATV-NB1P5,NE=33899389,ALTERVIM,0,5
HUAWEI,,10/1/2024,KKN1609-ATV-NB1P5,NE=33875385,ALTERVIM,0,5
HUAWEI,,10/1/2024,KKN6771-ATV-NB1P5,NE=33925502,ALTERVIM,0,5
HUAWEI,,10/1/2024,LBR6733-ATV-NB1P5,NE=33886821,ALTERVIM,0,5
HUAWEI,,10/1/2024,PSN3125-ATV-NB1P5,NE=33901686,ALTERVIM,0,5
HUAWEI,,10/1/2024,PTT8619-ATV-NB1P5,NE=33879565,ALTERVIM,0,5
HUAWEI,,10/1/2024,RYG1602-ATV-NB1P5,NE=33895122,ALTERVIM,0,5
HUAWEI,,10/1/2024,SKT8547-ATV-NB1P5,NE=33914174,ALTERVIM,0,5
HUAWEI,,10/1/2024,SRB6760-ATV-NB1P4,NE=33900437,ALTERVIM,0,4
HUAWEI,,10/1/2024,TRG8522-ATV -NB1P4,NE=33881926,ALTERVIM,0,4
HUAWEI,,11/1/2024,BKE0028-ATV-NB1P5,NE=33876316,ALTERVIM,0,5
HUAWEI,,11/1/2024,BKF8626-ATV-NB1P5,NE=33881282,ALTERVIM,0,5
HUAWEI,,11/1/2024,BRR8514-ATV-NB1P5,NE=33878390,ALTERVIM,0,5
HUAWEI,,11/1/2024,BRR8517-ATV-NB1P5,NE=33878110,ALTERVIM,0,5
HUAWEI,,11/1/2024,CBR4015-ATV-NB1P4,NE=33905449,ALTERVIM,0,4
HUAWEI,,11/1/2024,CBR7622-ATV-NB1P4,NE=34010329,ALTERVIM,0,4
HUAWEI,,11/1/2024,CPN6752-ATV-NB1P4,NE=34089931,ALTERVIM,0,4
HUAWEI,,11/1/2024,CYP8506-ATV-NB1P5,NE=33899389,ALTERVIM,0,5
HUAWEI,,11/1/2024,KKN1609-ATV-NB1P5,NE=33875385,ALTERVIM,0,5
HUAWEI,,11/1/2024,KKN6771-ATV-NB1P5,NE=33925502,ALTERVIM,0,5
HUAWEI,,11/1/2024,LBR6733-ATV-NB1P5,NE=33886821,ALTERVIM,0,5
HUAWEI,,11/1/2024,PSN3125-ATV-NB1P5,NE=33901686,ALTERVIM,0,5
HUAWEI,,11/1/2024,PTT8619-ATV-NB1P5,NE=33879565,ALTERVIM,0,5
HUAWEI,,11/1/2024,RYG1602-ATV-NB1P5,NE=33895122,ALTERVIM,0,5
HUAWEI,,11/1/2024,SKT8547-ATV-NB1P5,NE=33914174,ALTERVIM,0,5
HUAWEI,,11/1/2024,SRB6760-ATV-NB1P4,NE=33900437,ALTERVIM,0,4
HUAWEI,,11/1/2024,TRG8522-ATV -NB1P4,NE=33881926,ALTERVIM,0,4
HUAWEI,,12/1/2024,BKE0028-ATV-NB1P5,NE=33876316,ALTERVIM,0,5
HUAWEI,,12/1/2024,BKF8626-ATV-NB1P5,NE=33881282,ALTERVIM,0,5
HUAWEI,,12/1/2024,BRR8514-ATV-NB1P5,NE=33878390,ALTERVIM,0,5
HUAWEI,,12/1/2024,BRR8517-ATV-NB1P5,NE=33878110,ALTERVIM,0,5
HUAWEI,,12/1/2024,CBR4015-ATV-NB1P4,NE=33905449,ALTERVIM,0,4
HUAWEI,,12/1/2024,CBR7622-ATV-NB1P4,NE=34010329,ALTERVIM,0,4
HUAWEI,,12/1/2024,CPN6752-ATV-NB1P4,NE=34089931,ALTERVIM,0,4
HUAWEI,,12/1/2024,CYP8506-ATV-NB1P5,NE=33899389,ALTERVIM,0,5
HUAWEI,,12/1/2024,KKN1609-ATV-NB1P5,NE=33875385,ALTERVIM,0,5
HUAWEI,,12/1/2024,KKN6771-ATV-NB1P5,NE=33925502,ALTERVIM,0,5
HUAWEI,,12/1/2024,LBR6733-ATV-NB1P5,NE=33886821,ALTERVIM,0,5
HUAWEI,,12/1/2024,PSN3125-ATV-NB1P5,NE=33901686,ALTERVIM,0,5
HUAWEI,,12/1/2024,PSN3130-ATV-NB1P6,NE=33904481,ALTERVIM,0,6
HUAWEI,,12/1/2024,PTT8619-ATV-NB1P5,NE=33879565,ALTERVIM,0,5
HUAWEI,,12/1/2024,RYG1602-ATV-NB1P5,NE=33895122,ALTERVIM,0,5
HUAWEI,,12/1/2024,SKT8547-ATV-NB1P5,NE=33914174,ALTERVIM,0,5
HUAWEI,,12/1/2024,SRB6760-ATV-NB1P4,NE=33900437,ALTERVIM,0,4
HUAWEI,,12/1/2024,TRG8522-ATV -NB1P4,NE=33881926,ALTERVIM,0,4
HUAWEI,,1/1/2025,BKE0028-ATV-NB1P5,NE=33876316,ALTERVIM,0,5
HUAWEI,,1/1/2025,BKF8626-ATV-NB1P5,NE=33881282,ALTERVIM,0,5
HUAWEI,,1/1/2025,BRR8514-ATV-NB1P5,NE=33878390,ALTERVIM,0,5
HUAWEI,,1/1/2025,BRR8517-ATV-NB1P5,NE=33878110,ALTERVIM,0,5
HUAWEI,,1/1/2025,CBR4015-ATV-NB1P4,NE=33905449,ALTERVIM,0,4
HUAWEI,,1/1/2025,CBR7622-ATV-NB1P4,NE=34010329,ALTERVIM,0,4
HUAWEI,,1/1/2025,CPN6752-ATV-NB1P4,NE=34089931,ALTERVIM,0,4
HUAWEI,,1/1/2025,CYP8506-ATV-NB1P5,NE=33899389,ALTERVIM,0,5
HUAWEI,,1/1/2025,KKN1609-ATV-NB1P5,NE=33875385,ALTERVIM,0,5
HUAWEI,,1/1/2025,KKN6771-ATV-NB1P5,NE=33925502,ALTERVIM,0,5
HUAWEI,,1/1/2025,LBR6733-ATV-NB1P5,NE=33886821,ALTERVIM,0,5
HUAWEI,,1/1/2025,PSN3125-ATV-NB1P5,NE=33901686,ALTERVIM,0,5
HUAWEI,,1/1/2025,PSN3130-ATV-NB1P6,NE=33904481,ALTERVIM,0,6
HUAWEI,,1/1/2025,PTT8619-ATV-NB1P5,NE=33879565,ALTERVIM,0,5
HUAWEI,,1/1/2025,RYG1602-ATV-NB1P5,NE=33895122,ALTERVIM,0,5
HUAWEI,,1/1/2025,SKT8547-ATV-NB1P5,NE=33914174,ALTERVIM,0,5
HUAWEI,,1/1/2025,SRB6760-ATV-NB1P4,NE=33900437,ALTERVIM,0,4
HUAWEI,,1/1/2025,TRG8522-ATV -NB1P4,NE=33881926,ALTERVIM,0,4
HUAWEI,,2/1/2025,BRR8514-ATV-NB1P5,NE=33878390,ALTERVIM,0,5
HUAWEI,,2/1/2025,BRR8514-ATV-NB1P5 (Plan Decom),NE=33878390,ALTERVIM,0,5
HUAWEI,,2/1/2025,CPN6752-ATV-NB1P4,NE=34089931,ALTERVIM,0,4
HUAWEI,,2/1/2025,CYP8506-ATV-NB1P5,NE=33899389,ALTERVIM,0,5
HUAWEI,,2/1/2025,KKN1609-ATV-NB1P5,NE=33875385,ALTERVIM,0,5
HUAWEI,,2/1/2025,KKN6771-ATV-NB1P5,NE=33925502,ALTERVIM,0,5
HUAWEI,,2/1/2025,LBR6733-ATV-NB1P5,NE=33886821,ALTERVIM,0,5
HUAWEI,,2/1/2025,PSN3125-ATV-NB1P5,NE=33901686,ALTERVIM,0,5
HUAWEI,,2/1/2025,PSN3130-ATV-NB1P6,NE=33904481,ALTERVIM,0,6
HUAWEI,,2/1/2025,PTT8619-ATV-NB1P5,NE=33879565,ALTERVIM,0,5
HUAWEI,,2/1/2025,RYG1602-ATV-NB1P5,NE=33895122,ALTERVIM,0,5
HUAWEI,,2/1/2025,SKT8547-ATV-NB1P5,NE=33914174,ALTERVIM,0,5
HUAWEI,,2/1/2025,SRB6760-ATV-NB1P4,NE=33900437,ALTERVIM,0,4
HUAWEI,,2/1/2025,TRG8522-ATV -NB1P4,NE=33881926,ALTERVIM,0,4
HUAWEI,,3/1/2025,BRR8514-ATV-NB1P5 (Plan Decom),NE=33878390,ALTERVIM,0,5
HUAWEI,,3/1/2025,CYP8506-ATV-NB1P5,NE=33899389,ALTERVIM,0,5
HUAWEI,,3/1/2025,KKN1609-ATV-NB1P5,NE=33875385,ALTERVIM,0,5
HUAWEI,,3/1/2025,KKN6771-ATV-NB1P5,NE=33925502,ALTERVIM,0,5
HUAWEI,,3/1/2025,LBR6733-ATV-NB1P5,NE=33886821,ALTERVIM,0,5
HUAWEI,,3/1/2025,PSN3125-ATV-NB1P5,NE=33901686,ALTERVIM,0,5
HUAWEI,,3/1/2025,PTT8619-ATV-NB1P5,NE=33879565,ALTERVIM,0,5
HUAWEI,,3/1/2025,RYG1602-ATV-NB1P5,NE=33895122,ALTERVIM,0,5
HUAWEI,,3/1/2025,SKT8547-ATV-NB1P5,NE=33914174,ALTERVIM,0,5
HUAWEI,,3/1/2025,CPN6752-ATV-NB1P4,NE=34089931,ALTERVIM,0,4
HUAWEI,,3/1/2025,SRB6760-ATV-NB1P4,NE=33900437,ALTERVIM,0,4
HUAWEI,,3/1/2025,TRG8522-ATV -NB1P4,NE=33881926,ALTERVIM,0,4
HUAWEI,,4/1/2025,BRR8514-ATV-NB1P5 (Plan Decom),NE=33878390,ALTERVIM,0,5
HUAWEI,,4/1/2025,CYP8506-ATV-NB1P5,NE=33899389,ALTERVIM,0,5
HUAWEI,,4/1/2025,KKN1609-ATV-NB1P5,NE=33875385,ALTERVIM,0,5
HUAWEI,,4/1/2025,KKN6771-ATV-NB1P5,NE=33925502,ALTERVIM,0,5
HUAWEI,,4/1/2025,LBR6733-ATV-NB1P5,NE=33886821,ALTERVIM,0,5
HUAWEI,,4/1/2025,PSN3125-ATV-NB1P5,NE=33901686,ALTERVIM,0,5
HUAWEI,,4/1/2025,PTT8619-ATV-NB1P5,NE=33879565,ALTERVIM,0,5
HUAWEI,,4/1/2025,RYG1602-ATV-NB1P5,NE=33895122,ALTERVIM,0,5
HUAWEI,,4/1/2025,SKT8547-ATV-NB1P5,NE=33914174,ALTERVIM,0,5
HUAWEI,,4/1/2025,CPN6752-ATV-NB1P4,NE=34089931,ALTERVIM,0,4
HUAWEI,,4/1/2025,SRB6760-ATV-NB1P4,NE=33900437,ALTERVIM,0,4
HUAWEI,,4/1/2025,RYG8575-ATV-NB1P4,NE=33919220,ALTERVIM,0,4
HUAWEI,,4/1/2025,TRG8522-ATV -NB1P4,NE=33881926,ALTERVIM,0,4
HUAWEI,UPC-06,1/1/2024,LBR6733-ATV-NB1P5,NE=33886821,ALTERVIM,0,5
HUAWEI,UPC-06,1/1/2024,SRB6760-ATV-NB1P4,NE=33900437,ALTERVIM,0,4
HUAWEI,UPC-06,5/1/2024,LBR6733-ATV-NB1P5,NE=33886821,ALTERVIM,0,5
HUAWEI,UPC-06,5/1/2024,SRB6760-ATV-NB1P4,NE=33900437,ALTERVIM,0,4
HUAWEI,UPC-06,6/1/2024,LBR6733-ATV-NB1P5,NE=33886821,ALTERVIM,0,5
HUAWEI,UPC-06,6/1/2024,SRB6760-ATV-NB1P4,NE=33900437,ALTERVIM,0,4
HUAWEI,UPC-06,7/1/2024,LBR6733-ATV-NB1P5,NE=33886821,ALTERVIM,0,5
HUAWEI,UPC-06,7/1/2024,SRB6760-ATV-NB1P4,NE=33900437,ALTERVIM,0,4
HUAWEI,UPC-06,8/1/2024,LBR6733-ATV-NB1P5,NE=33886821,ALTERVIM,0,5
HUAWEI,UPC-06,8/1/2024,SRB6760-ATV-NB1P4,NE=33900437,ALTERVIM,0,4
HUAWEI,UPC-02,7/1/2024,PSN3125-ATV-NB1P5,NE=33901686,ALTERVIM,0,5
HUAWEI,UPC-02,8/1/2024,PSN3125-ATV-NB1P5,NE=33901686,ALTERVIM,0,5
HUAWEI,UPC-05,5/1/2024,RYG1602-ATV-NB1P5,NE=33895122,ALTERVIM,0,5
HUAWEI,UPC-05,6/1/2024,RYG1602-ATV-NB1P5,NE=33895122,ALTERVIM,0,5
HUAWEI,UPC-05,7/1/2024,RYG1602-ATV-NB1P5,NE=33895122,ALTERVIM,0,5
HUAWEI,UPC-05,8/1/2024,RYG1602-ATV-NB1P5,NE=33895122,ALTERVIM,0,5
HUAWEI,UPC-09,5/1/2024,TRG8522-ATV -NB1P4,NE=33881926,ALTERVIM,0,4
HUAWEI,UPC-09,6/1/2024,TRG8522-ATV -NB1P4,NE=33881926,ALTERVIM,0,4
HUAWEI,UPC-09,7/1/2024,TRG8522-ATV -NB1P4,NE=33881926,ALTERVIM,0,4
HUAWEI,UPC-09,8/1/2024,TRG8522-ATV -NB1P4,NE=33881926,ALTERVIM,0,4
GROWATT,UPC-01,10/1/2024,LPN1930-NB1P4,1830820,TRUE,0,4
